Stock Code,Remarks,Prev,Open,Date,High,Low,Close,Change,Volume,Value,Freq
PAMG,--U-1130000000H111------------,92,0,22 Feb 2022,93,90,92,0,1648500,150537300,342
PANI,--U-2130000000D222------------,2820,0,22 Feb 2022,3520,3050,3520,700,2917900,10201137000,1021
PANR,--U-1130000000E513------------,262,0,22 Feb 2022,268,260,260,-2,3659200,965997400,589
PANS,--U-1100000000G312------------,1260,0,22 Feb 2022,1290,1255,1270,10,239800,305147000,137
PBID,--M-1135000000B131------------,1640,0,22 Feb 2022,1745,1645,1665,25,1001300,1683747000,377
PBRX,--M-1100000000E411------------,135,0,22 Feb 2022,137,133,136,1,1781700,240523900,352
PBSA,--U-1135000000J211------------,700,0,22 Feb 2022,875,655,700,0,129200,98461000,218
PCAR,--U-2130000000D112------------,230,0,22 Feb 2022,236,222,230,0,502200,112957800,121
PDES,--U-2100000000E513------------,274,0,22 Feb 2022,276,270,272,-2,1110700,302910600,307
PEGE,--U-2105000000G511------------,955,0,22 Feb 2022,955,920,920,-35,951600,883769500,76
PEHA,--U-1130000000F211------------,1140,0,22 Feb 2022,1120,1115,1115,-25,20300,22635500,4
PGAS,--MO1SN9V56000A112------------,1450,1445,22 Feb 2022,1450,1400,1405,-45,89437000,126459229500,8329
PGJO,--U-3000000000I111------------,79,0,22 Feb 2022,80,74,80,1,19100,1473500,28
PGLI,--U-2130000000E512------------,366,0,22 Feb 2022,376,358,366,0,188400,67860200,94
PGUN,--U-1105000000D232------------,525,0,22 Feb 2022,530,505,520,-5,54500,28088500,25
PICO,--U-2100000000B131M----C-----X,81,0,22 Feb 2022,86,76,76,-5,330000,26331900,80
PJAA,--U-1130000000E514------------,505,0,22 Feb 2022,505,505,505,0,67200,33936000,26
PKPK,--U-2130000000A132------------,204,0,22 Feb 2022,208,200,204,0,7553300,1531360800,792
PLAN,--U-3000000000E512------------,35,0,22 Feb 2022,37,35,37,2,1858400,67217700,150
PLAS,--U-2100000000G511---L---Y----,50,0,22 Feb 2022,0,0,50,0,0,0,0
PLIN,--U-1135000000H111------------,2050,0,22 Feb 2022,2050,2050,2050,0,400,820000,4
